Exam,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Source,Difficulty
Mock Exam 1,22,"When applying a parameterized T-norm from Yager's class, what effect does increasing
the parameter `w` typically have on the resulting membership values of the intersection?","The membership values decrease, making the intersection stricter.","The membership values increase, making the intersection less strict.",The membership values remain unchanged.,The effect is unpredictable and depends on the specific input values.,B,Lecture_W6L58_Lecture_26__Parameterized_T_Norm_Operators,Medium
Mock Exam 1,23,"Given a fuzzy set `A` and its complement `A'`, why does the Law of Excluded Middle (`A
∪ A' = X`) fail for fuzzy sets?","Because `min(µ_A(x), 1 - µ_A(x))` is always greater than 0.","Because `max(µ_A(x), 1 - µ_A(x))` is not always 1.",Because fuzzy sets are always subnormal.,Because the union operation uses the product instead of max.,B,Lecture_W3L35_Lecture_12__Properties_of_Fuzzy_Sets__Part_I_,Hard
Mock Exam 1,24,"A fuzzy relation `R` is reflexive and symmetric. To confirm it is a Fuzzy Equivalence
Relation, what additional property must it satisfy, and how is it mathematically defined?","Normality: `max(µ_R(x,y)) = 1`.","Convexity: `µ_R(λx1 + (1-λ)x2) ≥ min(µ_R(x1), µ_R(x2))`.","Transitivity: `µ_R(x,k) ≥ min(µ_R(x,j), µ_R(j,k))`.",Idempotency: `R ∪ R = R`.,C,Lecture_W8L77_Lecture_39__Fuzzy_Tolerance_and_Equivalence_Relati,Hard
Mock Exam 1,25,"You are calculating the fuzzy distance `d(A,",", µ_B(x_",)` for all contributing pairs.,By taking the `max` of all `min(µ_A(x_,By averaging the `min(µ_A(x_,C,Lecture_W4L43_Lecture_17__Distance_between_Fuzzy_Sets__Part_I_,Hard
Mock Exam 1,26,"The TSK Fuzzy Model is characterized by a fuzzy premise and a crisp consequent.
What is the nature of this crisp consequent in a First-Order TSK model?",It is always a constant value.,It is a fuzzy set that requires defuzzification.,It is a polynomial function of the input variables.,It is a monotonic membership function.,C,Lecture_W12L110_Lecture_60__TSK_Fuzzy_Model,Hard
Mock Exam 1,27,Why does the property `A ∪ (A' ∩,Because fuzzy union uses the `min` operator.,Because the Law of Contradiction is violated.,Because the Law of Excluded Middle is violated.,Because fuzzy sets are not commutative.,C,Lecture_W3L38_Lecture_15__Properties_of_Fuzzy_Sets__Part_IV_,Hard
Mock Exam 1,28,"What is the defining characteristic of the Tsukamoto Fuzzy Model's consequent part in
its rules?",It is a crisp polynomial function of input variables.,It is a fuzzy set with a monotonically increasing or decreasing membership function.,It is always a constant value.,It is a trapezoidal membership function.,B,Lecture_W12L109_Lecture_59__Tsukamoto_Fuzzy_Model,Hard
Mock Exam 1,29,"Given a fuzzy set `A = {0.5/1, 1.0/2, 0.5/3}` and `B = {0.5/1, 1.0/2, 0.5/3}`. If `C = A * B`
(fuzzy multiplication) is computed with a Universe of Discourse `UoD = [1, 3]`, which of the
following statements is most likely true about `C`?",`C` will be a normal fuzzy number.,`C` will be a subnormal fuzzy set.,`C` will be a fuzzy singleton.,`C` will be identical to `A`.,B,Lecture_W5L50_Lecture_21__Arithmetic_Operations_on_Fuzzy_Numbers,Hard
Mock Exam 1,30,What is the primary purpose of **cylindrical extension** in fuzzy relational calculus?,To reduce the dimensionality of a fuzzy relation.,To convert a fuzzy set into a crisp value.,"To expand a fuzzy set into a higher-dimensional space, making it independent of new dimensions.",To find the transitive closure of a fuzzy relation.,C,Lecture_W7L67_Lecture_32__Cylindrical_Extension_of_Fuzzy_Set,Hard
Mock Exam 2,1,What is the core characteristic of Fuzzy Logic that distinguishes it from Bivalent Logic?,It only deals with precise numerical values.,It allows for degrees of truth between 0 and 1.,It is strictly limited to ON/OFF states.,It is a form of Boolean algebra.,B,Lecture_W1L18_Lecture_1__Introduction___Fuzzy_Sets__Logic_and_Sy,Easy
Mock Exam 2,2,What is the typical range of a membership value (µ) for an element in a fuzzy set?,"{0, 1}","[0, 1]","(-∞, +∞)","[0, 100]",B,Lecture_W1L20_Lecture_3__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Easy
Mock Exam 2,3,"Which MATLAB Toolbox component serves as the central environment for building
fuzzy models?",Simulink Blocks,M-Files,Fuzzy Inference System (FIS),Data Clustering,C,Lecture_W1L21_Lecture_4__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Easy
Mock Exam 2,4,"Which standard membership function is defined by three points, forming a triangle, and
is computationally efficient?",Trapezoidal Membership Function,Gaussian Membership Function,Triangular Membership Function,Sigmoidal Membership Function,C,Lecture_W1L22_Lecture_5__Membership_Functions__Part_I_,Easy
Mock Exam 2,5,What is the definition of the 'Core' of a fuzzy set A?,The set of all elements x for which µA(x) > 0.,The set of all elements x for which µA(x) < 1.,The set of all elements x for which µA(x) = 1.,The set of all elements x for which µA(x) = 0.5.,C,Lecture_W2L27_Lecture_7__Nomenclatures_used_in_Fuzzy_Set_Theory_,Easy
Mock Exam 2,6,What is a 'Fuzzy Singleton'?,A fuzzy set where all elements have a membership value of 1.,"A fuzzy set where only one element has a non-zero membership value, and that value is exactly 1.",A fuzzy set with a height less than 1.,A fuzzy set that is both normal and convex.,B,Lecture_W2L28_Lecture_8__Nomenclatures_used_in_Fuzzy_Set_Theory_,Easy
Mock Exam 2,7,What mathematical operator is typically used for Fuzzy Union (A ∪,min,max,product,sum,B,Lecture_W2L30_Lecture_10__Set_Theoretic_Operations_on_Fuzzy_Sets,Easy
Mock Exam 2,8,What operation do T-norm operators primarily model in fuzzy logic?,Fuzzy Union (OR),Fuzzy Intersection (AN,Fuzzy Complement (NOT),Fuzzy Difference,B,Lecture_W5L53_Lecture_24__T_norm_Operators,Easy
Mock Exam 2,9,What operation do S-norm operators primarily model in fuzzy logic?,Fuzzy Union (OR),Fuzzy Intersection (AN,Fuzzy Complement (NOT),Fuzzy Difference,A,Lecture_W5L54_Lecture_25__S_norm_Operators,Easy
Mock Exam 2,10,What is the primary purpose of a 'Linguistic Hedge' in fuzzy logic?,To define the universe of discourse for a fuzzy set.,To convert a fuzzy set into a crisp value.,"To modify a primary linguistic term, like 'very' or 'more or less'.",To combine two fuzzy sets using logical AND or OR.,C,Lecture_W9L82_Lecture_41__Linguistic_Hedges,Easy
Mock Exam 2,11,"Which type of uncertainty is NOT primarily addressed by fuzzy logic, but rather by
probability theory?",Ambiguity,Imprecision,Vagueness,Randomness,D,Lecture_W1L18_Lecture_1__Introduction___Fuzzy_Sets__Logic_and_Sy,Medium
Mock Exam 2,12,"How is a discrete fuzzy set typically represented using the '+' symbol in standard
notation?",As an arithmetic sum of membership values.,As a logical OR operation between elements.,"As an aggregator for element-membership pairs, not an arithmetic operator.",As a concatenation of string representations.,C,Lecture_W1L20_Lecture_3__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Medium
Mock Exam 2,13,"What is the primary characteristic that distinguishes the Larsen Fuzzy Model from the
Mamdani Fuzzy Model in terms of how they generate the output fuzzy set?","Larsen uses a crisp consequent, while Mamdani uses a fuzzy consequent.","Larsen scales the consequent fuzzy set, while Mamdani truncates (clips) it.","Larsen uses product for AND, while Mamdani uses min for AND.","Larsen requires defuzzification, while Mamdani does not.",B,Lecture_W12L106_Lecture_56__Larsen_Fuzzy_Model__Part_I_,Medium
Mock Exam 2,14,What is the primary purpose of Contrast Intensification (INT) in fuzzy logic?,To increase the fuzziness of a set by pushing values towards 0.5.,To reduce the fuzziness of a set by pushing membership values towards 0 or 1.,To calculate the complement of a fuzzy set.,To combine two fuzzy sets using a T-norm operator.,B,Lecture_W10L90_Lecture_46__Contrast_Intensification_of_Fuzzy_Sets,Medium
Mock Exam 2,15,What is the core condition for a term set `T(x)` to be considered 'orthogonal'?,All fuzzy sets in the term set must be subnormal.,"For any element x, the sum of its membership grades across all fuzzy sets in the term set is exactly 1.",Each fuzzy set in the term set must be a fuzzy singleton.,The intersection of any two fuzzy sets in the term set must be an empty set.,B,Lecture_W10L91_Lecture_47__Orthogonality_of_Fuzzy_Sets,Medium
Mock Exam 2,16,What is the function of the 'Fuzzifier' component in a Fuzzy Inference System (FIS)?,It applies fuzzy logic rules to generate an output.,It converts the aggregated fuzzy output into a crisp numerical value.,It stores the collection of IF-THEN rules.,It converts a crisp input value into a fuzzy value by determining its degree of membership.,D,Lecture_W10L94_Lecture_50__Fuzzy_Inference_System,Medium
Mock Exam 2,17,"In a Mamdani Fuzzy Model, when a rule has multiple antecedents connected by an
'AND' operator, what operator is typically used for 'antecedent aggregation' to determine the
rule's overall firing strength?",max,sum,product,min,D,Lecture_W11L100_Lecture_53__Mamdani_Fuzzy_Model__Part_III_,Medium
Mock Exam 2,18,Which of the following classical set properties is UPHELD in fuzzy set theory?,Law of Contradiction,Law of Excluded Middle,Idempotency,Absorption of Complement,C,Lecture_W3L35_Lecture_12__Properties_of_Fuzzy_Sets__Part_I_,Medium
Mock Exam 2,19,"Which of De Morgan's Laws states that the complement of the union of two fuzzy sets
is equivalent to the intersection of their individual complements?",(A ∩,= A,A ∪ (A ∩,A ∩ (A ∪,B,Lecture_W4L42_Lecture_16__Properties_of_Fuzzy_Sets__Part_V_,Medium
Mock Exam 2,20,"How is the membership value for an ordered pair (x, y) in a Fuzzy Cartesian Product (A
×","µA×B(x, y) = µA(x) + µB(y)","µA×B(x, y) = max(µA(x), µB(y))","µA×B(x, y) = min(µA(x), µB(y))","µA×B(x, y) = µA(x) * µB(y)",C,Lecture_W6L61_Lecture_29__Fuzzy_Relation__Part_II_,Medium
Mock Exam 2,21,"What is the primary purpose of 'Projection' in fuzzy logic when applied to a fuzzy
relation?",To increase the dimensionality of the relation.,"To combine two relations into a single, more complex one.",To reduce the dimensionality of a fuzzy relation by summarizing along one or more dimensions.,To convert a fuzzy relation into a crisp relation.,C,Lecture_W7L66_Lecture_31__Projection_of_Fuzzy_Relation_Set,Medium
Mock Exam 2,22,"What is the core rule for calculating the membership value during 'Cylindrical
Extension' of a fuzzy set A from its original universe X into a larger Cartesian product space
X x Y?","(x,y) = µA(x) * µA(y)",µC(,µC(,µC(,C,Lecture_W7L67_Lecture_32__Cylindrical_Extension_of_Fuzzy_Set,Medium
Mock Exam 2,23,"What is the mathematical formula for Contrast Intensification (INT) for membership
values µA(x) ∈ [0, 0.5]?",(x) = √µA(x),µ_INT(,µ_INT(,µ_INT(,C,Lecture_W10L90_Lecture_46__Contrast_Intensification_of_Fuzzy_Sets,Hard
Mock Exam 2,24,"If a term set T(x) = {t1, t2, t3} is orthogonal, and fuzzy sets t1 and t2 are known, how is
the membership function for the unknown set t3 derived?",µ_t3(x) = µ_t1(x) + µ_t2(x),"µ_t3(x) = min(µ_t1(x), µ_t2(x))",µ_t3(x) = 1 - (µ_t1(x) + µ_t2(x)),"µ_t3(x) = max(µ_t1(x), µ_t2(x))",C,Lecture_W10L91_Lecture_47__Orthogonality_of_Fuzzy_Sets,Hard
Mock Exam 2,25,"Which interpretation of a fuzzy rule ('IF x is A THEN y is B') is based on logical
implication, defining the relationship with formulas derived from classical and extended
logic, such as `¬A ∪ B`?",A coupled with B,A correlated with B,A entails B,A combined with B,C,Lecture_W10L93_Lecture_49__Fuzzy_Rules_and_Fuzzy_Reasoning__Part_,Hard
Mock Exam 2,26,"What is the defining characteristic of the consequent part of a rule in the Tsukamoto
Fuzzy Model?",It is always a crisp numerical value.,It is a fuzzy set with a monotonically increasing or decreasing membership function.,It is a fuzzy set that is truncated by the firing strength.,It is a linear polynomial function of the input variables.,B,Lecture_W12L109_Lecture_59__Tsukamoto_Fuzzy_Model,Hard
Mock Exam 2,27,"What is the key innovation of the TSK (Takagi-Sugeno-Kang) Fuzzy Model regarding its
consequent part?",The consequent is always a fuzzy set that is scaled by the firing strength.,The consequent is a crisp mathematical polynomial function of the input variables.,The consequent is a fuzzy set with a monotonic membership function.,"The consequent is always a single, crisp constant value.",B,Lecture_W12L110_Lecture_60__TSK_Fuzzy_Model,Hard
Mock Exam 2,28,"Which of the following absorption properties involving complements is NOT upheld in
fuzzy set theory?",A ∪ (A ∩,= A ∪ B,(A')' = A,A ∪ (A' ∩,D,Lecture_W3L38_Lecture_15__Properties_of_Fuzzy_Sets__Part_IV_,Hard
Mock Exam 2,29,"In the Extension Principle, if multiple elements from the source fuzzy set (",It is the sum of the membership values of all source elements mapping to y*.,It is the minimum of the membership values of all source elements mapping to y*.,It is the product of the membership values of all source elements mapping to y*.,It is the maximum of the membership values of all source elements mapping to y*.,D,Lecture_W7L70_Lecture_35__Extension_Principle,Hard
Mock Exam 2,30,"What is the mathematical condition for 'Transitivity' in a fuzzy relation R, for all
elements x, j, k in the set X?","µ_R(x, j) = µ_R(j, x)","µ_R(x, x) = 1","µ_R(x, k) ≥ min(µ_R(x, j), µ_R(j, k))","µ_R(x, k) = max(µ_R(x, j), µ_R(j, k))",C,Lecture_W8L77_Lecture_39__Fuzzy_Tolerance_and_Equivalence_Relati,Hard
Mock Exam 3,1,"Which of the following best describes the core difference between fuzzy logic and
bivalent logic?","Fuzzy logic uses only 0s and 1s, while bivalent logic uses real numbers.","Fuzzy logic allows for degrees of truth between 0 and 1, while bivalent logic is strictly true (1) or false
(0).",Fuzzy logic is a subset of bivalent logic.,"Bivalent logic handles ambiguity, imprecision, and vagueness better than fuzzy logic.",B,Lecture_W1L18_Lecture_1__Introduction___Fuzzy_Sets__Logic_and_Sy,Easy
Mock Exam 3,2,"In the notation for a discrete fuzzy set, such as `A = 0.2/16 + 0.1/17`, what do the `+` and
`/` symbols represent?","`+` is arithmetic addition, `/` is arithmetic division.","`+` denotes a collection or union of pairs, `/` is a separator between membership value and element.","`+` is a logical OR, `/` is a logical AND.","`+` signifies concatenation, `/` indicates a ratio.",B,Lecture_W1L20_Lecture_3__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Easy
Mock Exam 3,3,A fuzzy set where at least one element has a membership value of 1 is called a(n):,Subnormal Fuzzy Set,Normal Fuzzy Set,Crisp Set,Empty Set,B,Lecture_W1L20_Lecture_3__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Easy
Mock Exam 3,4,Which of the following is NOT a standard membership function introduced in Lecture 5?,Triangular Membership Function,Square Membership Function,Gaussian Membership Function,Sigmoidal Membership Function,B,Lecture_W1L22_Lecture_5__Membership_Functions__Part_I_,Easy
Mock Exam 3,5,What is the definition of the 'Core' of a fuzzy set A?,The set of all elements x for which µA(x) > 0.,The set of all elements x for which µA(x) = 0.5.,The set of all elements x for which µA(x) = 1.,The maximum membership value achieved by any element in A.,C,Lecture_W2L27_Lecture_7__Nomenclatures_used_in_Fuzzy_Set_Theory_,Easy
Mock Exam 3,6,"What is the result of the fuzzy complement operation on a membership value µA(x) =
0.7?",0.7,0.3,1.0,0.0,B,Lecture_W2L29_Lecture_9__Nomenclatures_used_in_Fuzzy_Set_Theory_,Easy
Mock Exam 3,7,Which operator is typically used for Fuzzy Union (A ∪,min,max,product,sum,B,Lecture_W3L34_Lecture_11__Set_Theoretic_Operations_on_Fuzzy_Sets,Easy
Mock Exam 3,8,Which of the following properties holds true for fuzzy sets?,Law of Contradiction,Law of Excluded Middle,Idempotency,Absorption of Complement for Union,C,Lecture_W3L35_Lecture_12__Properties_of_Fuzzy_Sets__Part_I_,Easy
Mock Exam 3,9,"What is the primary purpose of the Fuzzifier component in a Fuzzy Inference System
(FIS)?",To convert fuzzy outputs into crisp numerical values.,To apply fuzzy logic rules to fuzzified inputs.,To convert crisp input values into fuzzy values (membership degrees).,To store the collection of IF-THEN rules.,C,Lecture_W10L94_Lecture_50__Fuzzy_Inference_System,Easy
Mock Exam 3,10,"In the Mamdani Fuzzy Model, if a rule states 'IF x is A AND y is B THEN z is C', and the
'AND' connective is implemented using the `min` operator, how is the overall firing strength
calculated?",By summing the membership values of A and B.,By taking the product of the membership values of A and B.,By taking the minimum of the membership values of A and B.,By taking the maximum of the membership values of A and B.,C,Lecture_W11L101_Lecture_54__Example_on_Mamdani_Fuzzy_Model_for_Sin,Easy
Mock Exam 3,11,"A fuzzy set `A` is given as `{(5, 0.1), (6, 0.5), (7, 0.8), (9, 1.0), (10, 0.7), (11, 0.3)}`. What is
the Support of this fuzzy set?",{9},"{5, 6, 7, 9, 10, 11}",{6},{1.0},B,Lecture_W2L27_Lecture_7__Nomenclatures_used_in_Fuzzy_Set_Theory_,Medium
Mock Exam 3,12,"Given fuzzy sets A = `{ (1, 0.2), (2, 0.5), (3, 0.9) }` and B = `{ (1, 0.3), (2, 0.5), (3, 0.4) }`, is A
a subset of B (A ⊆","Yes, because 0.2 ≤ 0.3 and 0.5 ≤ 0.5.","No, because at x=3, µA(3) = 0.9 which is not ≤ µB(3) = 0.4.","Yes, because they share common elements.","No, because they are not equal.",B,Lecture_W2L29_Lecture_9__Nomenclatures_used_in_Fuzzy_Set_Theory_,Medium
Mock Exam 3,13,"Which of the following algebraic properties of fuzzy sets is NOT preserved when using
standard `min` for intersection and `max` for union?",Commutativity of Union,Associativity of Intersection,Distributivity of Union over Intersection,Absorption of Complement for Union,D,Lecture_W3L38_Lecture_15__Properties_of_Fuzzy_Sets__Part_IV_,Medium
Mock Exam 3,14,"The distance between two fuzzy sets, A and B, is itself a fuzzy set. How is the
membership grade µd(A,",", µB(x",where δ = |xA - xB|.,As max { min(µA(x,As min { max(µA(x,C,Lecture_W4L43_Lecture_17__Distance_between_Fuzzy_Sets__Part_I_,Medium
Mock Exam 3,15,When performing fuzzy multiplication (A *,They must always be positive.,They must be integers.,They must fall within the predefined Universe of Discourse (Uo,They must be greater than 1.,C,Lecture_W5L50_Lecture_21__Arithmetic_Operations_on_Fuzzy_Numbers,Medium
Mock Exam 3,16,Which of the following is a key characteristic of the Tsukamoto Fuzzy Model?,Its consequent part is always a crisp mathematical polynomial function.,It requires a complex defuzzification step using Centroid of Area.,"The consequent of each rule is a fuzzy set with a monotonically increasing or decreasing membership
function.","It exclusively accepts fuzzy inputs, not crisp ones.",C,Lecture_W12L109_Lecture_59__Tsukamoto_Fuzzy_Model,Medium
Mock Exam 3,17,"In the TSK Fuzzy Model, what is the nature of the consequent part of an IF-THEN rule?",It is always a fuzzy set.,It is a crisp mathematical polynomial function of the input variables.,It is a monotonically increasing or decreasing fuzzy set.,It is a linguistic hedge.,B,Lecture_W12L110_Lecture_60__TSK_Fuzzy_Model,Medium
Mock Exam 3,18,"What is the primary difference in how the Larsen Fuzzy Model generates its output
membership function compared to the Mamdani Fuzzy Model?","Larsen uses max-min composition, while Mamdani uses max-product.","Larsen scales the consequent fuzzy set by the firing strength, while Mamdani truncates (clips) it.","Larsen produces a crisp output, while Mamdani produces a fuzzy output.","Larsen only works with fuzzy inputs, while Mamdani works with crisp inputs.",B,Lecture_W12L106_Lecture_56__Larsen_Fuzzy_Model__Part_I_,Medium
Mock Exam 3,19,"Which property ensures that the order of composition in a three-relation chain doesn't
matter, i.e., (R o S1) o T = R o (S1 o T)?",Distributivity,Commutativity,Associativity,Monotonicity,C,Lecture_W8L75_Lecture_37__Properties_of_Composition_of_Fuzzy_Rel,Medium
Mock Exam 3,20,"A fuzzy relation R is considered a Fuzzy Tolerance Relation if it satisfies which two
properties?",Reflexivity and Transitivity,Symmetry and Transitivity,Reflexivity and Symmetry,Anti-reflexivity and Anti-symmetry,C,Lecture_W8L76_Lecture_38__Fuzzy_Tolerance_and_Equivalence_Relati,Medium
Mock Exam 3,21,"What is the mathematical operation for the linguistic hedge 'very' when applied to a
fuzzy set A?",µ_very_A(x) = √µ_A(x),µ_very_A(x) = 1 - µ_A(x),µ_very_A(x) = [µ_A(x)]²,µ_very_A(x) = µ_A(x) + 0.5,C,Lecture_W9L82_Lecture_41__Linguistic_Hedges,Medium
Mock Exam 3,22,"Contrast Intensification (INT) is an operation designed to reduce the fuzziness of a set.
For membership values µA(x) in the range [0, 0.5], what is the formula for µ_INT(",(x) = √µA(x),µ_INT(,µ_INT(,µ_INT(,B,Lecture_W10L90_Lecture_46__Contrast_Intensification_of_Fuzzy_Sets,Medium
Mock Exam 3,23,"Given two fuzzy sets A = `{0.7/1, 0.5/2}` and B = `{0.1/1, 0.8/2}`. If Yager's T-norm with
parameter `w = 1` is used to find their intersection, what is the membership value for x=1?",0.7,0.1,0,0.07,C,Lecture_W6L58_Lecture_26__Parameterized_T_Norm_Operators,Hard
Mock Exam 3,24,A fuzzy set is defined as a 'Fuzzy Number' if it satisfies which two conditions?,It is symmetric and has a bandwidth of 1.,It is normal and convex.,Its support is finite and its core is non-empty.,It is an Open Left or Open Right set.,B,Lecture_W2L28_Lecture_8__Nomenclatures_used_in_Fuzzy_Set_Theory_,Hard
Mock Exam 3,25,"The Law of Contradiction (`A ∩ A' = ∅`) and the Law of Excluded Middle (`A ∪ A' = X`)
are both violated in fuzzy set theory. What is the primary reason for these violations?","Fuzzy sets use only discrete elements, unlike crisp sets.","Fuzzy sets allow for partial membership, representing 'gray areas' where elements can partially
belong to both a set and its complement.",Fuzzy sets do not have complements defined.,Fuzzy sets always have a height less than 1.,B,Lecture_W3L35_Lecture_12__Properties_of_Fuzzy_Sets__Part_I_,Hard
Mock Exam 3,26,"When performing fuzzy arithmetic, such as (A +",Fuzzy arithmetic is commutative.,The Extension Principle is flawed for complex operations.,Standard algebraic identities from crisp mathematics do not automatically apply to fuzzy numbers.,The Universe of Discourse was incorrectly defined.,C,Lecture_W5L52_Lecture_23__Arithmetic_Operations_on_Fuzzy_Numbers,Hard
